aesthetic,label,description,color_palette,image_url,keywords
gothic,Dark Elegance,Bold mysterious design with a touch of drama.,333333,https://i.pinimg.com/474x/d1/bb/84/d1bb84d4798b73b2b4ef9b77529b01d4.jpg,Gothic dark elegant mysterious
bohemian,Boho Bliss,Free-spirited eclectic design inspired by nature and culture.,FFD700,https://www.dafont.com/img/illustration/b/o/bohemian_soul.png,Bohemian free spirited eclectic nature inspired
industrial,Urban Edge,Raw and utilitarian design with an urban industrial vibe.,A9A9A9,https://cdn2.vectorstock.com/i/1000x1000/48/31/energy-and-power-icons-industry-word-vector-17164831.jpg,Industrial raw urban utilitarian
art_deco,Deco Elegance,Opulent geometric design inspired by the Roaring Twenties.,D2B48C,https://img.freepik.com/premium-vector/golden-art-deco-font-luxury-decorative-1920s-geometric-letters-ornamental-gold-numbers-retro-frame-set_102902-2423.jpg, Deco opulent geometric 1920s
cottagecore,Cozy Haven,Warm rustic design reminiscent of a charming countryside cottage.,8F9779,"https://ih1.redbubble.net/image.2477309145.1400/st,small,507x507-pad,600x600,f8f8f8.jpg",Cottagecore warm rustic countryside
vaporwave,WaveCraft,Futuristic nostalgic design with vibrant colors and retro aesthetics.,FF6AC1,https://i.pinimg.com/736x/5c/f0/65/5cf0653a67d7e0de605e9c435f2b2035.jpg,Vaporwave futuristic nostalgic retro
kawaii,Kawaii Dreams,Cute and charming design inspired by Japanese pop culture.,FFD700,https://img.freepik.com/premium-vector/love-kawaii-text-effect-style-eps-editable-text-effect_8319-1959.jpg,Kawaii cute charming J pop
hypebeast_streetwear,Street Chic,Trendy and urban design inspired by streetwear fashion.,FF4500,https://img.freepik.com/premium-vector/hypebeast-style-editable-text-effect-tshirt_501861-532.jpg,Hypebeast streetwear trendy urban
rustic_farmhouse,Farmhouse Elegance,Charming rustic design inspired by countryside living.,8B4513,https://i.pinimg.com/736x/2b/3e/8d/2b3e8d189fdb89b36c21192eb6cb4c79.jpg,Rustic/Farmhouse charming rustic countryside
steampunk,Steampunk Wonders,Vintage industrial design with Victorian-era aesthetics.,C0C0C0,https://slm-assets.secondlife.com/assets/6473135/lightbox/Steampunk_backgrnd.jpg?1350842685,Steampunk vintage industrial Victorian
modern_contemporary,Urban Elegance,Sleek and sophisticated design inspired by contemporary cityscapes.,2E8B57,https://img.freepik.com/premium-vector/urban-modern-alphabet-font-typography-condensed_28633-739.jpg?w=2000,Modern Contemporary rough sophisticated urban
art_nouveau,Nouveau Blossoms,Ornate floral design with flowing lines inspired by the Art Nouveau movement.,6495ED,https://i.ytimg.com/vi/LettuxcTmtw/maxresdefault.jpg, Nouveau ornate floral flowing lines
grunge,Gritty Vibes,Raw and edgy design with a rebellious attitude.,696969,https://cdn3.vectorstock.com/i/1000x1000/88/77/grunge-fonts-vector-488877.jpg,Grunge raw edgy rebellious
preppy,Prep Perfection,Polished and classic design with a preppy twist.,87CEFA,"https://ih1.redbubble.net/image.764910853.9128/st,small,845x845-pad,1000x1000,f8f8f8.jpg",Preppy polished classic preppy
